site,product_id,details,actual_price,our_price,discount,percentage,availability,date
amazon,B07D8VBYB4,Sujata Powermatic Plus + CH 900-Watt Juicer Mixer Grinder (White),6255.0,5300.0,955.0,15.0,True,20-Dec-2018 21:51:37
amazon,B075JLZ1GF,"Spacewood Joy Queen Size Bed (Woodpore Finish, Natural Wenge)",26128.0,11999.0,14129.0,54.0,True,20-Dec-2018 21:52:14
amazon,B076CHMZQT,NIKE Men's Flex 2017 Rn Blue Running Shoes,0,0,0,0,False,20-Dec-2018 21:52:30
amazon,B078HGLZ95,NIKE Men's Grey Ck Racer 2 Sports Running Shoes (AA2179-002),0,0,0,0,False,20-Dec-2018 21:52:43
amazon,B0772GP9D7,Men's bicycle Short,1599.0,1599.0,0,0,True,20-Dec-2018 21:54:03
amazon,B01NBWMH1X,Santic Cycling Shorts Biking Bicycle Bike Shorts Black Padded,12670.0,10287.86,2382.14,19.0,True,20-Dec-2018 21:54:06
amazon,B01FMZKHQ4,"Sunline Alaska Deep Sea Fish Oil Omega 3 - 100 Softgels, 1000 Mg",999.0,449.0,550.0,55.0,True,20-Dec-2018 21:54:10
amazon,B06XPB6LDJ,"Azani Mens Compression Tights. Sports Baselayer Leggings. Ideal for Running, Gym, Cycling, Yoga & More. Cool Dry Compression Sports Pants - Anthracite Black",1300.0,895.0,0,0,True,20-Dec-2018 21:54:12
amazon,B000GIURIQ,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 2 lbs, 907 g (Delicious Strawberry)",3699.0,2996.0,703.0,19.0,True,20-Dec-2018 21:54:15
amazon,B000GISU1M,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 5 lbs, 2.27 kg (Vanilla Ice Cream)",0,0,0,0,True,20-Dec-2018 21:54:17
amazon,B078N8HR35,Protinex Vanilla Delight - 400 g,520.0,488.0,32.0,6.0,True,20-Dec-2018 21:54:20
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,708.0,396.0,312.0,44.0,True,20-Dec-2018 21:54:23
